Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Protein Groups
FALSE	High	Master Protein	ENST00000157600.p1	ENST00000157600.p1	0	181.388	59	29	138	29	403	44.8	8.18	238.41	29	1
FALSE	High	Master Protein	ENST00000286091.p1	ENST00000286091.p1	0	180.608	46	35	118	1	646	73	5.07	198.15	35	1
FALSE	High	Master Protein	ENST00000286788.p1	ENST00000286788.p1	0	180.157	49	31	110	20	548	59.6	5.6	190.29	31	1
FALSE	High	Master Protein	ENST00000241052.p1	ENST00000241052.p1	0	180.02	45	24	118	24	527	59.7	7.39	252.64	24	1
FALSE	High	Master Protein	ENST00000277865.p1	ENST00000277865.p1	0	178.972	46	28	150	11	558	61.4	7.8	224.63	28	1
FALSE	High	Master Protein	ENST00000335295.p1	ENST00000335295.p1	0	177.821	85	15	972	15	147	16	7.28	1532.22	15	1
FALSE	High	Master Protein	ENST00000226299.p1	ENST00000226299.p1	0	176.754	54	28	135	28	519	56.1	7.93	236.46	28	1
FALSE	High	Master Protein	ENST00000404648.p1	ENST00000404648.p1	0	175.724	47	22	140	22	437	49.5	6.09	266.24	22	1
FALSE	High	Master Protein	ENST00000216038.p1	ENST00000216038.p1	0	175.663	46	26	102	26	505	55.2	7.23	167.36	26	1
FALSE	High	Master Protein	ENST00000297785.p1	ENST00000297785.p1	0	175.169	38	25	157	22	518	56.6	6.23	313.88	25	1
FALSE	High	Master Protein	ENST00000404814.p1	ENST00000404814.p1	0	174.764	36	24	183	24	521	57.7	5.31	339.41	24	1
FALSE	High	Master Protein	ENST00000388837.p1	ENST00000388837.p1	0	173.171	46	33	214	5	453	50.2	5.62	305.91	33	1
FALSE	High	Master Protein	TALONT003033210.p1	TALONT003033210.p1	0	172.733	47	17	615	1	299	34.1	4.91	950.44	17	1
FALSE	High	Master Protein	TALONT001770178.p1	TALONT001770178.p1	0	172.25	60	26	170	24	364	39.4	8.09	323.64	26	1
FALSE	High	Master Protein	ENST00000264028.p1	ENST00000264028.p1	0	171.461	40	28	88	28	511	57.2	6.21	110.69	28	1
FALSE	High	Master Protein	ENST00000297185.p1	ENST00000297185.p1	0	171.317	42	30	83	30	706	76.6	6.87	133.25	30	1
FALSE	High	Master Protein	TALONT001633856.p1	TALONT001633856.p1	0	169.713	46	23	136	23	417	48.1	4.44	329.23	23	1
FALSE	High	Master Protein	ENST00000427177.p1	ENST00000427177.p1	0	169.625	51	28	101	28	586	65.4	8.97	193.52	28	1
FALSE	High	Master Protein	ENST00000251595.p1	ENST00000251595.p1	0	168.267	69	16	1751	16	154	16.7	8.68	2637.33	16	1
FALSE	High	Master Protein	ENST00000461509.p1	ENST00000461509.p1	0	167.592	42	17	257	17	282	31.3	7.11	373.86	17	1
FALSE	High	Master Protein	ENST00000391971.p1	ENST00000391971.p1	0	167.307	45	18	124	18	386	44	7.01	215.11	18	1
FALSE	High	Master Protein	ENST00000356638.p1	ENST00000356638.p1	0	166.835	34	33	105	33	948	107.3	6.21	173.41	33	1
FALSE	High	Master Protein	ENST00000305046.p1	ENST00000305046.p1	0	166.761	47	25	416	10	398	42.4	8.25	607.95	25	1
FALSE	High	Master Protein	ENST00000333188.p1	ENST00000333188.p1	0	166.357	36	31	88	31	906	102.4	5.27	144.4	31	1
FALSE	High	Master Protein	ENST00000510025.p1	ENST00000510025.p1	0	165.923	33	25	79	25	762	82.4	8.76	155.26	25	1
FALSE	High	Master Protein	ENST00000426705.p1	ENST00000426705.p1	0	165.328	47	26	176	3	514	56.8	6.48	288.48	26	1
FALSE	High	Master Protein	ENST00000494517.p1	ENST00000494517.p1	0	164.633	32	43	59	43	1640	188.1	4.82	88.85	43	1
FALSE	High	Master Protein	TALONT002283337.p1	TALONT002283337.p1	0	164.333	66	28	153	1	321	36.1	6.13	305.45	28	1
FALSE	High	Master Protein	ENST00000360079.p1	ENST00000360079.p1	0	163.682	33	27	97	27	609	69.8	6.64	193.55	27	1
FALSE	High	Master Protein	ENST00000398752.p1	ENST00000398752.p1	0	162.881	37	26	216	26	574	61.7	9.03	393.53	26	1
FALSE	High	Master Protein	ENST00000261733.p1	ENST00000261733.p1	0	162.816	41	28	122	24	517	56.3	7.05	231.94	28	1
FALSE	High	Master Protein	ENST00000261401.p1	ENST00000261401.p1	0	162.195	37	25	113	24	474	53.2	7.08	218.12	25	1
FALSE	High	Master Protein	ENST00000392006.p1	ENST00000392006.p1	0	161.429	25	22	64	21	856	95.7	6.92	139.64	22	1
FALSE	High	Master Protein	ENST00000301843.p1	ENST00000301843.p1	0	161.049	47	28	95	28	550	61.5	5.4	156.48	28	1
FALSE	High	Master Protein	TALONT000423092.p1	TALONT000423092.p1	0	160.948	36	29	86	29	954	104.9	5.81	134.08	29	1
FALSE	High	Master Protein	ENST00000532870.p3	ENST00000532870.p3	0	160.829	87	23	200	23	201	22.6	8.84	319.85	23	1
FALSE	High	Master Protein	ENST00000359470.p1	ENST00000359470.p1	0	160.414	43	23	91	23	687	73	9.03	192.31	23	1
FALSE	High	Master Protein	ENST00000372839.p1	ENST00000372839.p1	0	159.731	54	18	171	10	246	28.1	4.83	292.83	18	1
FALSE	High	Master Protein	ENST00000264893.p1	ENST00000264893.p1	0	159.493	47	24	96	14	429	49.4	6.81	157.96	24	1
FALSE	High	Master Protein	ENST00000322723.p1	ENST00000322723.p1	0	157.763	37	35	133	35	710	76.6	4.7	224.7	35	1
FALSE	High	Master Protein	TALONT002285378.p1	TALONT002285378.p1	0	157.216	62	28	152	1	342	38.6	6.93	304.48	28	1
FALSE	High	Master Protein	ENST00000404922.p1	ENST00000404922.p1	0	156.815	29	30	83	30	1231	131.8	4.86	124.9	30	1
FALSE	High	Master Protein	TALONT003043292.p1	TALONT003043292.p1	0	156.3	43	23	140	22	361	40	8.79	239.88	23	1
FALSE	High	Master Protein	ENST00000646673.p1	ENST00000646673.p1	0	155.574	43	27	92	27	626	72.2	7.14	142.5	27	1
FALSE	High	Master Protein	ENST00000563924.p1	ENST00000563924.p1	0	155.436	40	28	80	28	738	82.5	6.99	125.17	28	1
FALSE	High	Master Protein	ENST00000302278.p1	ENST00000302278.p1	0	155.416	28	26	134	26	826	91.4	5.5	262.64	26	1
FALSE	High	Master Protein	ENST00000432237.p1	ENST00000432237.p1	0	155.337	25	25	68	25	1121	121.5	6.11	133.08	25	1
FALSE	High	Master Protein	ENST00000392524.p1	ENST00000392524.p1	0	155.277	38	20	73	4	378	39.6	9.01	131.4	20	1
FALSE	High	Master Protein	ENST00000447750.p1	ENST00000447750.p1	0	154.877	41	21	101	15	447	50.6	5.14	175.54	21	1
FALSE	High	Master Protein	ENST00000379516.p1	ENST00000379516.p1	0	154.776	43	23	82	1	519	58.4	5.12	150.77	23	1
FALSE	High	Master Protein	ENST00000369622.p1	ENST00000369622.p1	0	154.683	33	23	95	14	657	73.3	8.85	132.84	23	1
FALSE	High	Master Protein	ENST00000264202.p1	ENST00000264202.p1	0	154.489	60	23	82	6	272	30.6	6	179.86	23	1
FALSE	High	Master Protein	ENST00000314583.p1	ENST00000314583.p1	0	154.241	37	22	67	22	514	57.3	4.86	138.34	22	1
FALSE	High	Master Protein	ENST00000313164.p1	ENST00000313164.p1	0	154.104	36	29	75	28	881	97.8	6.62	130.37	29	1
FALSE	High	Master Protein	TALONT003800581.p1	TALONT003800581.p1	0	153.869	50	24	165	1	456	50.5	6.37	269.47	24	1
FALSE	High	Master Protein	ENST00000313511.p1	ENST00000313511.p1	0	153.272	41	21	116	21	455	49.8	7.61	182.06	21	1
FALSE	High	Master Protein	ENST00000673047.p1	ENST00000673047.p1	0	153.146	52	23	165	20	334	36.6	6.05	298.84	23	1
FALSE	High	Master Protein	TALONT002425743.p1	TALONT002425743.p1	0	153.128	71	15	239	3	168	18.8	4.77	378.54	15	1
FALSE	High	Master Protein	ENST00000373232.p1	ENST00000373232.p1	0	153.074	51	15	86	5	289	32.6	5.86	184.13	15	1
FALSE	High	Master Protein	ENST00000540303.p1	ENST00000540303.p1	0	152.974	40	19	233	3	358	40.1	7.28	416.26	19	1
FALSE	High	Master Protein	ENST00000398238.p1	ENST00000398238.p1	0	152.429	37	31	81	31	744	82.5	6.95	133.66	31	1
FALSE	High	Master Protein	ENST00000334828.p1	ENST00000334828.p1	0	151.644	55	17	95	14	254	28.8	7.18	176.39	17	1
FALSE	High	Master Protein	ENST00000458587.p1	ENST00000458587.p1	0	151.49	37	19	90	19	313	34.7	7.84	164.49	19	1
FALSE	High	Master Protein	ENST00000304858.p1	ENST00000304858.p1	0	151.352	34	26	80	24	840	94.3	5.19	102.83	26	1
FALSE	High	Master Protein	ENST00000322535.p1	ENST00000322535.p1	0	150.927	25	22	59	22	895	100.2	5.67	117.23	22	1
FALSE	High	Master Protein	ENST00000247207.p1	ENST00000247207.p1	0	150.436	29	23	112	10	639	70	5.74	212.13	23	1
FALSE	High	Master Protein	ENST00000507735.p1	ENST00000507735.p1	0	150.373	43	28	113	28	661	72.2	7.53	185.48	28	1
FALSE	High	Master Protein	ENST00000514949.p1	ENST00000514949.p1	0	149.412	55	23	76	1	402	46.1	7.24	139.83	23	1
FALSE	High	Master Protein	ENST00000390549.p1	ENST00000390549.p1	0	149.2	61	18	565	11	330	36.1	8.19	972.74	18	1
FALSE	High	Master Protein	ENST00000388968.p1	ENST00000388968.p1	0	148.685	36	25	107	25	573	61	5.87	172.14	25	1
FALSE	High	Master Protein	ENST00000541179.p1	ENST00000541179.p1	0	148.554	29	28	89	9	781	87.2	7.81	130.96	28	1
FALSE	High	Master Protein	ENST00000422447.p1	ENST00000422447.p1	0	148.376	45	25	126	22	364	39.8	8.53	227.53	25	1
FALSE	High	Master Protein	ENST00000358204.p1	ENST00000358204.p1	0	148.148	46	22	76	22	421	48	7.68	98.84	22	1
FALSE	High	Master Protein	ENST00000295809.p1	ENST00000295809.p1	0	147.991	38	28	70	28	789	88.6	9.29	102.96	28	1
FALSE	High	Master Protein	ENST00000280326.p1	ENST00000280326.p1	0	147.986	37	25	111	25	541	59.6	5.66	180.84	25	1
FALSE	High	Master Protein	ENST00000425368.p1	ENST00000425368.p1	0	147.971	30	27	98	27	764	85.5	7.06	167.52	27	1
FALSE	High	Master Protein	ENST00000317702.p1	ENST00000317702.p1	0	146.562	35	16	200	6	446	49.8	4.88	335.77	16	1
FALSE	High	Master Protein	ENST00000301072.p1	ENST00000301072.p1	0	145.959	43	18	139	6	449	49.9	5.1	237.2	18	1
FALSE	High	Master Protein	ENST00000264932.p1	ENST00000264932.p1	0	145.911	35	22	84	22	664	72.6	7.39	138.21	22	1
FALSE	High	Master Protein	TALONT001546167.p1	TALONT001546167.p1	0	145.372	40	21	112	21	463	51.1	5.39	202.23	21	1
FALSE	High	Master Protein	ENST00000571505.p1	ENST00000571505.p1	0	145.367	71	19	77	15	222	24.8	7.02	181.36	19	1
FALSE	High	Master Protein	ENST00000319248.p1	ENST00000319248.p1	0	144.983	58	19	237	15	221	24.6	8.59	389.61	19	1
FALSE	High	Master Protein	ENST00000506126.p1	ENST00000506126.p1	0	144.821	56	23	133	12	276	31.7	9.79	166.64	23	1
FALSE	High	Master Protein	ENST00000405315.p1	ENST00000405315.p1	0	144.686	50	24	71	24	461	53.8	5.25	119.43	24	1
FALSE	High	Master Protein	TALONT001851650.p1	TALONT001851650.p1	0	144.418	36	29	78	29	804	86.9	6.11	150.3	29	1
